# Flight Simulation Results - CJ Tamarack
# Route: KSZT to KSAN
# Initial Fuel: 3440 lb
# Payload: 0 lb
# Cruise Altitude: 41000 ft
# Winds/Temps Source: No Wind
# Approach VAPP: 111.2 kts
# Approach VREF: 85.5 kts
# Generated: 2025-11-06 13:59:24
# Original Data Points: 1734
# Sampled Data Points (5-sec intervals): 1734
# Time Range: 0 - 9965 seconds
# Exact 5-second intervals, no skipped rows
# 
Time (s),Segment,Altitude (ft),Distance (NM),VKTAS (kts),VKIAS (kts),ROC (fpm),Thrust (lb),Drag (lb),Weight (lb),Fuel Remaining (lb),Fuel Flow (lb/hr),Mach,Gradient (%),VAPP (kts),VREF (kts)
705,4,24082,41.8,261,180,1437,1696,817,9592,3014,1223,0.432,9.2,,
710,4,24202,42.2,261,180,1430,1690,817,9591,3012,1218,0.433,9.1,,
715,4,24320,42.5,262,180,1423,1683,816,9589,3010,1214,0.434,9.1,,
720,4,24439,42.9,262,180,1416,1677,816,9587,3009,1209,0.435,9.0,,
725,4,24556,43.2,263,180,1409,1671,816,9586,3007,1205,0.436,9.0,,
730,4,24673,43.6,264,180,1402,1664,816,9584,3005,1200,0.437,8.9,,
735,4,24790,44.0,264,180,1394,1658,816,9582,3004,1196,0.438,8.8,,
740,4,24906,44.3,265,180,1387,1652,816,9581,3002,1191,0.439,8.8,,
745,4,25021,44.7,265,180,1380,1646,815,9579,3000,1187,0.44,8.7,,
750,4,25136,45.1,266,180,1373,1640,815,9577,2999,1182,0.441,8.6,,
755,4,25250,45.5,266,180,1366,1634,815,9576,2997,1178,0.442,8.6,,
760,4,25363,45.8,267,180,1359,1628,815,9574,2996,1174,0.444,8.5,,
765,4,25476,46.2,267,180,1352,1622,815,9573,2994,1169,0.445,8.5,,
770,4,25589,46.6,268,180,1345,1616,815,9571,2992,1165,0.446,8.4,,
775,4,25700,46.9,268,180,1339,1610,814,9569,2991,1161,0.447,8.3,,
780,4,25811,47.3,269,180,1332,1604,814,9568,2989,1156,0.448,8.3,,
785,4,25922,47.7,269,180,1325,1598,814,9566,2987,1152,0.449,8.2,,
790,4,26032,48.1,270,180,1318,1592,814,9564,2986,1148,0.45,8.2,,
795,4,26142,48.4,270,180,1311,1586,814,9563,2984,1144,0.451,8.1,,
800,4,26251,48.8,271,180,1304,1581,813,9561,2983,1140,0.452,8.0,,
805,4,26359,49.2,271,180,1297,1575,813,9560,2981,1136,0.453,8.0,,
810,4,26467,49.6,272,180,1290,1569,813,9558,2980,1132,0.454,7.9,,
815,4,26574,49.9,272,180,1284,1564,813,9557,2978,1127,0.455,7.9,,
820,4,26680,50.3,273,180,1277,1558,813,9555,2976,1123,0.456,7.8,,
825,4,26787,50.7,273,180,1270,1553,813,9553,2975,1119,0.457,7.8,,
830,4,26892,51.1,274,180,1263,1547,812,9552,2973,1115,0.458,7.7,,
835,4,26997,51.5,274,180,1257,1542,812,9550,2972,1112,0.459,7.7,,
840,4,27101,51.8,274,180,1250,1536,812,9549,2970,1108,0.46,7.6,,
845,4,27205,52.2,275,180,1243,1531,812,9547,2969,1104,0.461,7.5,,
850,4,27308,52.6,275,180,1237,1525,812,9546,2967,1100,0.462,7.5,,
855,4,27411,53.0,276,180,1230,1520,812,9544,2966,1096,0.463,7.4,,
860,4,27513,53.4,276,180,1223,1515,811,9543,2964,1092,0.464,7.4,,
865,4,27615,53.8,277,180,1217,1509,811,9541,2963,1088,0.465,7.3,,
870,4,27716,54.1,277,180,1210,1504,811,9540,2961,1084,0.466,7.3,,
875,4,27816,54.5,278,180,1203,1499,811,9538,2960,1081,0.467,7.2,,
880,4,27916,54.9,278,180,1197,1494,811,9537,2958,1077,0.468,7.2,,
885,4,28016,55.3,279,180,1190,1489,811,9535,2957,1073,0.469,7.1,,
890,4,28115,55.7,279,180,1184,1484,810,9534,2955,1070,0.47,7.1,,
895,4,28213,56.1,280,180,1177,1478,810,9532,2954,1066,0.471,7.0,,
900,4,28311,56.5,280,180,1171,1473,810,9531,2952,1062,0.472,7.0,,
905,4,28408,56.8,281,180,1165,1468,810,9529,2951,1059,0.473,6.9,,
910,4,28505,57.2,281,180,1158,1463,810,9528,2949,1055,0.474,6.9,,
915,4,28601,57.6,282,180,1152,1458,810,9526,2948,1052,0.475,6.8,,
920,4,28697,58.0,282,180,1145,1454,809,9525,2946,1048,0.476,6.8,,
925,4,28792,58.4,282,180,1139,1449,809,9524,2945,1044,0.477,6.7,,
930,4,28886,58.8,283,180,1133,1444,809,9522,2943,1041,0.478,6.7,,
935,4,28980,59.2,283,180,1126,1439,809,9521,2942,1038,0.479,6.6,,
940,4,29074,59.6,284,180,1120,1434,809,9519,2941,1034,0.48,6.6,,
945,4,29167,60.0,284,180,1114,1430,809,9518,2939,1031,0.481,6.5,,
950,4,29260,60.4,285,180,1107,1425,808,9516,2938,1027,0.482,6.5,,
955,4,29352,60.8,285,180,1101,1420,808,9515,2936,1024,0.483,6.4,,
960,4,29443,61.2,286,180,1095,1415,808,9513,2935,1020,0.484,6.4,,
965,4,29534,61.6,286,180,1089,1411,808,9512,2933,1017,0.485,6.4,,
