aircraft,mod,flap,isa_dev,cruise_alt,mach,kias,ktas,payload,taxi_fuel,reserve_fuel,save_plot,initial_fuel_lb,takeoff_weight_lb,status,error_message,total_dist_nm,total_time_min,fuel_burned_lb,first_level_off_ft,cruise_vktas_kts,cruise_vkias_kts,achieved_alt_ft,altitude_limited,achieved_mach,mach_limited,reserve_fuel_calc_lb
C208B,Flatwing,0,0,25000,0.0,128.10713980516732,190.0,1867,15,230,False,2200,8652,ok,,1069.0,395.0,1955.0,16903.0,166.01576257722598,128.0,16903.0,True,0.2670011259852742,False,245.0
C208B,Flatwing,0,0,25000,0.0,121.26950928234004,180.0,1867,15,230,False,2200,8652,ok,,1016.0,395.0,1955.0,16903.0,157.21731240052563,121.0,16903.0,True,0.252850685884675,False,245.0
C208B,Flatwing,0,0,25000,0.0,114.44715790521852,170.0,1867,15,230,False,2200,8652,ok,,964.0,395.0,1955.0,16903.0,148.4474960802522,114.0,16903.0,True,0.23874629726610744,False,245.0
C208B,Flatwing,0,0,25000,0.0,107.63927863786714,160.0,1867,15,230,False,2200,8652,ok,,911.0,395.0,1955.0,16903.0,139.6565587475786,108.0,16903.0,True,0.22460793998091905,False,245.0
C208B,Flatwing,0,0,25000,0.0,100.84505727769427,150.0,1867,15,230,False,2200,8652,ok,,859.0,395.0,1955.0,16903.0,133.79527593058233,101.0,16903.0,True,0.21518131031900267,False,245.0
C208B,Flatwing,0,0,25000,0.0,94.06367287702052,140.0,1867,15,230,False,2200,8652,ok,,806.0,395.0,1955.0,16903.0,133.79527593058233,94.0,16903.0,True,0.21518131031900267,False,245.0
C208B,Flatwing,0,0,25000,0.0,128.10713980516732,190.0,2133,15,230,False,2117,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,121.26950928234004,180.0,2133,15,230,False,2117,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,114.44715790521852,170.0,2133,15,230,False,2117,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,107.63927863786714,160.0,2133,15,230,False,2117,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,100.84505727769427,150.0,2133,15,230,False,2117,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,94.06367287702052,140.0,2133,15,230,False,2117,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,128.10713980516732,190.0,2400,15,230,False,1850,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,121.26950928234004,180.0,2400,15,230,False,1850,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,114.44715790521852,170.0,2400,15,230,False,1850,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,107.63927863786714,160.0,2400,15,230,False,1850,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,100.84505727769427,150.0,2400,15,230,False,1850,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,0,25000,0.0,94.06367287702052,140.0,2400,15,230,False,1850,8835,ok,,,,,,,,,True,,True,
C208B,Flatwing,0,20,25000,0.0,122.85495858175426,190.0,0,15,230,False,2200,6785,ok,,1383.0,463.0,1955.0,22904.0,183.22985826430255,123.0,22904.0,True,0.30478584013427806,False,245.0
C208B,Flatwing,0,20,25000,0.0,116.29021528260554,180.0,0,15,230,False,2200,6785,ok,,1317.0,463.0,1955.0,22904.0,173.56941799050094,116.0,22904.0,True,0.2887165955645939,False,245.0
